line_index,raw_line,old_name,new_name,old_smiles,new_smiles,old_input_hash,new_input_hash,old_evidence_input_hash,new_evidence_input_hash,old_canonical_smiles,new_canonical_smiles,old_verdict,new_verdict,old_reason,new_reason,verdict_changed,reason_changed,name_changed,smiles_changed
841,"C=CC(=O)N[C@@H]1C[C@H]2C[C@@H]1C[C@H]2C(=O)OC |&1:5,7,9,11,r|	Z3417282586	223.269	223.269	0.582	-1.945	1	2	55.4	5","|&1:5,7,9,11,r|",Z3417282586,C=CC(=O)N[C@@H]1C[C@H]2C[C@@H]1C[C@H]2C(=O)OC,"C=CC(=O)N[C@@H]1C[C@H]2C[C@@H]1C[C@H]2C(=O)OC |&1:5,7,9,11,r|",sha256:e96d2545365b516cdb34ce510af1d39370cee2554289dae2ca5961a403cb5945,sha256:a14e938119a86af474886a2b580160eac75b1575193c6885faafa28d9194541f,sha256:e96d2545365b516cdb34ce510af1d39370cee2554289dae2ca5961a403cb5945,sha256:a14e938119a86af474886a2b580160eac75b1575193c6885faafa28d9194541f,C=CC(=O)N[C@@H]1C[C@H]2C[C@@H]1C[C@H]2C(=O)OC,C=CC(=O)N[C@@H]1C[C@H]2C[C@@H]1C[C@H]2C(=O)OC,PASS,PASS,,,False,False,True,True
860,"C=CC(=O)N[C@@H]1CCOC[C@H]1O |&1:5,10,r|	Z3490366321	171.194	171.194	-1.244	-1.099	2	3	58.56	3","|&1:5,10,r|",Z3490366321,C=CC(=O)N[C@@H]1CCOC[C@H]1O,"C=CC(=O)N[C@@H]1CCOC[C@H]1O |&1:5,10,r|",sha256:ba1808ddc429966e02de5c28f2d536090ac824960e1ce46634ff19eb7365c7eb,sha256:013481a007a5611e82e042ab6487f22fafe254a67839f4d9d8d626af92c3a26f,sha256:ba1808ddc429966e02de5c28f2d536090ac824960e1ce46634ff19eb7365c7eb,sha256:013481a007a5611e82e042ab6487f22fafe254a67839f4d9d8d626af92c3a26f,C=CC(=O)N[C@@H]1CCOC[C@H]1O,C=CC(=O)N[C@@H]1CCOC[C@H]1O,PASS,PASS,,,False,False,True,True
862,"C=CC(=O)N1CC[C@H]2CC[C@H](O)[C@H]21 |&1:7,10,12,r|	Z3490366378	181.232	181.232	0.228	-1.628	1	2	40.54	2","|&1:7,10,12,r|",Z3490366378,C=CC(=O)N1CC[C@H]2CC[C@H](O)[C@H]21,"C=CC(=O)N1CC[C@H]2CC[C@H](O)[C@H]21 |&1:7,10,12,r|",sha256:8981390a572074a148950b3fdc1ae8f9b6e7d52a1cf3624f0cd382a06ba77843,sha256:8f49b2729fb85822f297b04568ab176b32b5405faa25a879ac7476036af437ab,sha256:8981390a572074a148950b3fdc1ae8f9b6e7d52a1cf3624f0cd382a06ba77843,sha256:8f49b2729fb85822f297b04568ab176b32b5405faa25a879ac7476036af437ab,C=CC(=O)N1CC[C@H]2CC[C@H](O)[C@H]21,C=CC(=O)N1CC[C@H]2CC[C@H](O)[C@H]21,PASS,PASS,,,False,False,True,True
866,"C=CC(=O)N([C@@H]1COC[C@H]1O)C(C)(C)C |&1:5,9,r|	Z3490366483	213.274	213.274	1.069	-1.714	1	3	49.77	4","|&1:5,9,r|",Z3490366483,C=CC(=O)N([C@@H]1COC[C@H]1O)C(C)(C)C,"C=CC(=O)N([C@@H]1COC[C@H]1O)C(C)(C)C |&1:5,9,r|",sha256:15228bda16594905795b946599e5e3b0c47d90444101bb0cbcf6b59978d1043f,sha256:5d5df5e15ee5019e7824c370ca02c6073a8efb0d4732b5bc3d59f642deb9314a,sha256:15228bda16594905795b946599e5e3b0c47d90444101bb0cbcf6b59978d1043f,sha256:5d5df5e15ee5019e7824c370ca02c6073a8efb0d4732b5bc3d59f642deb9314a,C=CC(=O)N([C@@H]1COC[C@H]1O)C(C)(C)C,C=CC(=O)N([C@@H]1COC[C@H]1O)C(C)(C)C,PASS,PASS,,,False,False,True,True
893,"C=CC(=O)NCC[C@@H]1CCCC[C@H]1O |&1:7,12,r|	Z4024589068	197.275	197.275	0.509	-2.006	2	2	49.33	5","|&1:7,12,r|",Z4024589068,C=CC(=O)NCC[C@@H]1CCCC[C@H]1O,"C=CC(=O)NCC[C@@H]1CCCC[C@H]1O |&1:7,12,r|",sha256:73c21ffa0528b9d2e36174f071bbb866504904b3c5abf6ee7defb23aaa481485,sha256:bd23d5459f33f6656802375ab8aa3542531295b1e1cd9c1e9c32aed62a5aa7d6,sha256:73c21ffa0528b9d2e36174f071bbb866504904b3c5abf6ee7defb23aaa481485,sha256:bd23d5459f33f6656802375ab8aa3542531295b1e1cd9c1e9c32aed62a5aa7d6,C=CC(=O)NCC[C@@H]1CCCC[C@H]1O,C=CC(=O)NCC[C@@H]1CCCC[C@H]1O,PASS,PASS,,,False,False,True,True
901,"C=CC(=O)N(CC1=CC=CC(F)=C1C)[C@H]2C[C@H]3CC[C@@H]2O3 |&1:14,16,19,r|	Z4874583839	289.345	289.345	2.28	-4.135	0	2	29.54	5","|&1:14,16,19,r|",Z4874583839,C=CC(=O)N(CC1=CC=CC(F)=C1C)[C@H]2C[C@H]3CC[C@@H]2O3,"C=CC(=O)N(CC1=CC=CC(F)=C1C)[C@H]2C[C@H]3CC[C@@H]2O3 |&1:14,16,19,r|",sha256:933d111fc891070392eda5a64d1dc9cd246c7c1e13022dae275339fb1d6e0c15,sha256:c71e3701884c27df7bddb0a7a98a168826fc9cf071cac9aeba1250929102158b,sha256:933d111fc891070392eda5a64d1dc9cd246c7c1e13022dae275339fb1d6e0c15,sha256:c71e3701884c27df7bddb0a7a98a168826fc9cf071cac9aeba1250929102158b,C=CC(=O)N(Cc1cccc(F)c1C)[C@H]1C[C@H]2CC[C@@H]1O2,C=CC(=O)N(Cc1cccc(F)c1C)[C@H]1C[C@H]2CC[C@@H]1O2,PASS,PASS,,,False,False,True,True
1028,"C=CC(=O)N(C)CC(=O)N1CC[C@H](C)C[C@H](C)C1 |&1:12,15,r|	Z2931820978	252.353	252.353	2.172	-2.722	0	2	40.62	5","|&1:12,15,r|",Z2931820978,C=CC(=O)N(C)CC(=O)N1CC[C@H](C)C[C@H](C)C1,"C=CC(=O)N(C)CC(=O)N1CC[C@H](C)C[C@H](C)C1 |&1:12,15,r|",sha256:071e5eef2383db2ae27fe443e8c773c016c06df628fa5bc1350b1a8792106d1a,sha256:c9c1030ccfcb16b9fcaf2e9b703102b4794ba8ea855871f85936918acb368391,sha256:071e5eef2383db2ae27fe443e8c773c016c06df628fa5bc1350b1a8792106d1a,sha256:c9c1030ccfcb16b9fcaf2e9b703102b4794ba8ea855871f85936918acb368391,C=CC(=O)N(C)CC(=O)N1CC[C@H](C)C[C@H](C)C1,C=CC(=O)N(C)CC(=O)N1CC[C@H](C)C[C@H](C)C1,PASS,PASS,,,False,False,True,True
1151,"C=CC(=O)N1C[C@@H](O)CC[C@H]1C |&1:6,10,r|	Z2791926770	169.221	169.221	0.433	-1.222	1	2	40.54	2","|&1:6,10,r|",Z2791926770,C=CC(=O)N1C[C@@H](O)CC[C@H]1C,"C=CC(=O)N1C[C@@H](O)CC[C@H]1C |&1:6,10,r|",sha256:40f745f820e4536d77b08496f3c5099571ae3a65e9eed0d7e501be643f2b63ef,sha256:62a0071adf7a4af255aba71f6a9259d6afa82fad3d0a4fa24f54f398ea18e836,sha256:40f745f820e4536d77b08496f3c5099571ae3a65e9eed0d7e501be643f2b63ef,sha256:62a0071adf7a4af255aba71f6a9259d6afa82fad3d0a4fa24f54f398ea18e836,C=CC(=O)N1C[C@@H](O)CC[C@H]1C,C=CC(=O)N1C[C@@H](O)CC[C@H]1C,PASS,PASS,,,False,False,True,True
1156,"C=CC(=O)N(C)CC(=O)N[C@]12C[C@H]1COC32CCC3 |&1:10,12,r|	Z2963780698	264.321	264.321	0.627	-2.727	1	3	58.64	6","|&1:10,12,r|",Z2963780698,C=CC(=O)N(C)CC(=O)N[C@]12C[C@H]1COC32CCC3,"C=CC(=O)N(C)CC(=O)N[C@]12C[C@H]1COC32CCC3 |&1:10,12,r|",sha256:0c545d698324bc795aa77bfd7b3f04ec33472721a271e838c144d6ea64793187,sha256:b8b136f8314ac4cbf983e09c366e5f1a32c78548869250736a5f3e7e98fcdb19,sha256:0c545d698324bc795aa77bfd7b3f04ec33472721a271e838c144d6ea64793187,sha256:b8b136f8314ac4cbf983e09c366e5f1a32c78548869250736a5f3e7e98fcdb19,C=CC(=O)N(C)CC(=O)N[C@]12C[C@H]1COC21CCC1,C=CC(=O)N(C)CC(=O)N[C@]12C[C@H]1COC21CCC1,PASS,PASS,,,False,False,True,True
1176,"C=CC(=O)N[C@H]1CCCC[C@H]1C2=CC=NN2C |&1:5,10,r|	Z3292142620	233.31	233.31	0.891	-2.133	1	2	46.92	4","|&1:5,10,r|",Z3292142620,C=CC(=O)N[C@H]1CCCC[C@H]1C2=CC=NN2C,"C=CC(=O)N[C@H]1CCCC[C@H]1C2=CC=NN2C |&1:5,10,r|",sha256:c8cea7a64cae4c08421a56a65b3744c349961ca844ed30a43a49e3d6a6738a30,sha256:68304284e689fde2dc92940d6814035801f62aedbca79cc1af76879ee2e68b39,sha256:c8cea7a64cae4c08421a56a65b3744c349961ca844ed30a43a49e3d6a6738a30,sha256:68304284e689fde2dc92940d6814035801f62aedbca79cc1af76879ee2e68b39,C=CC(=O)N[C@H]1CCCC[C@H]1c1ccnn1C,C=CC(=O)N[C@H]1CCCC[C@H]1c1ccnn1C,PASS,PASS,,,False,False,True,True
